,tweet_id,favorites,retweets
190,854365224396361728,18070,4436
191,854120357044912130,30610,7038
192,854010172552949760,15545,2983
193,853760880890318849,27377,5444
194,853639147608842240,33205,9455
195,853299958564483072,14863,3368
196,852936405516943360,0,1882
197,852912242202992640,8642,1708
198,852672615818899456,14334,2050
199,852553447878664193,15635,3291
200,852311364735569921,31865,9449
201,852226086759018497,19255,6515
202,852189679701164033,11038,1510
203,851861385021730816,0,19
204,851591660324737024,15685,3302
205,851464819735769094,23378,6734
206,851224888060895234,19956,5481
207,850753642995093505,29663,8659
208,850380195714523136,12660,2487
209,850333567704068097,3337,314
210,850145622816686080,15768,3624
211,850019790995546112,19721,4652
212,849776966551130114,29358,7254
213,849668094696017920,0,4749
214,849412302885593088,15357,3013
215,849336543269576704,11055,1813
216,849051919805034497,40964,8106
217,848690551926992896,24393,4156
218,848324959059550208,23945,4441
219,848213670039564288,7911,693
220,848212111729840128,15808,2901
221,847978865427394560,0,3129
222,847971574464610304,0,420
223,847962785489326080,22821,4868
224,847842811428974592,5252,1270
225,847617282490613760,6773,395
226,847606175596138505,18226,3293
227,847251039262605312,19905,4161
228,847157206088847362,19297,5630
229,847116187444137987,20849,3062
230,846874817362120707,19492,3773
231,846514051647705089,43290,11084
232,846505985330044928,13716,2949
233,846153765933735936,30649,8686
234,846139713627017216,30183,9694
235,846042936437604353,15536,2755
236,845812042753855489,28407,8355
237,845677943972139009,24526,4633
238,845397057150107648,7420,1724
239,845306882940190720,22705,5179
240,845098359547420673,0,7394
241,844979544864018432,13290,2457
242,844973813909606400,14647,3057
243,844580511645339650,16036,3002
244,844223788422217728,13325,2111
245,843981021012017153,14806,2851
246,843856843873095681,20925,4459
247,843604394117681152,16469,2645
248,843235543001513987,20986,5809
249,842846295480000512,14931,3511
250,842765311967449089,6562,1228
251,842535590457499648,17701,3400
252,842163532590374912,23865,5591
253,842115215311396866,13643,2922
254,841833993020538882,0,14553
255,841680585030541313,25185,7582
256,841439858740625411,12349,3558
257,841320156043304961,19357,5338
258,841314665196081154,15501,4502
259,841077006473256960,22350,5144
260,840761248237133825,0,1711
261,840728873075638272,0,15568
262,840698636975636481,172,2
263,840696689258311684,12019,945
264,840632337062862849,8802,1711
265,840370681858686976,16090,4425
266,840268004936019968,18843,5557
267,839990271299457024,13164,2206
268,839549326359670784,26897,7529
269,839290600511926273,0,140
270,839239871831150596,26558,6346
271,838952994649550848,19279,3883
272,838921590096166913,10913,1990
273,838916489579200512,0,33
274,838831947270979586,0,10703
275,838561493054533637,10757,1294
276,838476387338051585,22038,4640
277,838201503651401729,0,9760
278,838150277551247360,1634,323
279,838085839343206401,138,1
280,838083903487373313,17306,3035
281,837820167694528512,33420,7648
282,837482249356513284,3795,434
283,837471256429613056,12564,2209
284,837110210464448512,15746,2309
285,836989968035819520,12525,2247
286,836753516572119041,19014,4536
287,836677758902222849,12414,2174
288,836648853927522308,0,541
289,836397794269200385,0,26820
290,836380477523124226,14520,2917
291,836260088725786625,20962,4205
292,836001077879255040,18749,4161
293,835685285446955009,0,7946
294,835574547218894849,17495,3537
295,835536468978302976,0,1654
296,835309094223372289,0,20431
297,835297930240217089,16209,2931
298,835264098648616962,7598,1654
299,835246439529840640,2062,71
300,835172783151792128,25741,5634
301,835152434251116546,21999,2933
302,834931633769889797,10610,1595
303,834786237630337024,21086,5390
304,834574053763584002,13421,2465
305,834477809192075265,0,10407
306,834458053273591808,9475,1640
307,834209720923721728,20226,4637
308,834167344700198914,15567,3582
309,834089966724603904,9886,2087
310,834086379323871233,12858,2159
311,833863086058651648,13228,2357
312,833826103416520705,17818,3697
313,833732339549220864,0,219
314,833722901757046785,20521,3159
315,833479644947025920,14647,2005
316,833124694597443584,19899,4749
317,832998151111966721,13051,2152
318,832769181346996225,0,39
319,832757312314028032,16626,3543
320,832682457690300417,11697,2856
321,832645525019123713,2887,523
322,832636094638288896,15631,2728
323,832397543355072512,11797,2164
324,832369877331693569,16925,3129
325,832273440279240704,11184,2287
326,832215909146226688,0,6084
327,832215726631055365,0,9139
328,832088576586297345,62,2
329,832040443403784192,0,9409
330,832032802820481025,17607,4576
331,831939777352105988,23651,6013
332,831926988323639298,331,34
333,831911600680497154,27196,6368
334,831670449226514432,10282,1778
335,831650051525054464,7019,1882
336,831552930092285952,8854,2279
337,831322785565769729,9156,1526
338,831315979191906304,6450,1104
339,831309418084069378,11616,2420
340,831262627380748289,11742,2003
341,830956169170665475,7878,1467
342,830583320585068544,65874,16433
343,830173239259324417,0,5582
344,830097400375152640,9664,2880
345,829878982036299777,0,4913
346,829861396166877184,12088,1905
347,829501995190984704,31326,10407
348,829449946868879360,10337,1973
349,829141528400556032,24078,7189
350,829011960981237760,52585,16046
351,828801551087042563,0,3366
352,828770345708580865,25284,5748
353,828708714936930305,36043,10982
354,828650029636317184,9389,1315
355,828409743546925057,6276,1145
356,828408677031882754,7595,1264
357,828381636999917570,12444,2180
358,828376505180889089,7293,1049
359,828372645993398273,12430,2880
360,828361771580813312,2163,171
361,828046555563323392,11618,2824
362,828011680017821696,10237,2118
363,827933404142436356,19862,5147
364,827653905312006145,15330,2975
365,827600520311402496,7381,928
366,827324948884643840,15667,2989
367,827199976799354881,10465,2190
